"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","35625","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"39948","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","46","39966","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"40122","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","","?","45","40124","task1.py","1.1.2 for 2021-2022 @t1","0"
"e","4","","45","40957","task1.py","1.1.2 for 2021-2022 @t1","0"
"k","4",,"46","40967","task1.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","46","41242","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Creating file /Users/user/Documents/CS1400/Davidson-Paige-Unit4/plan1fix.txt",,,"79824897","task1.py","1.1.2 for 2021-2022 @t1","0"
"a","Paste",,,"80036370","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"p","Software Design
makeNumberPyramid function
1. Create formal parameter for the number of rows from the caller
of the function
2. Create a string variable that will be returned. Start as an empty 
string.
3. Create a loop from 0 to the number of rows (including the number of
rows value)
a. Create a string variable for the row of text
b. Create a loop from 0 to the current row number
i. Create a conditional to concatenate a space to the text
if it's not the first character of the row
ii. Concatenate the row number to the string
c. Add the row of text string to the message variable. Make
sure to add a newline at the end
4. Return the string message
main function
1. Get input from the user for the number of rows to print
2. Call makeNumberPyramid using the value from the user and save the 
return
3. Print the return value
program start - NOTE: This isn't really necessary for your future 
assignments
as the main function definition will be assumed to be the starting 
point
1. Call main function",,"0","80036471","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","Software Design
makeNumberPyramid function
1. Create formal parameter for the number of rows from the caller
of the function
2. Create a string variable that will be returned. Start as an empty 
string.
3. Create a loop from 0 to the number of rows (including the number of
rows value)
a. Create a string variable for the row of text
b. Create a loop from 0 to the current row number
i. Create a conditional to concatenate a space to the text
if it's not the first character of the row
ii. Concatenate the row number to the string
c. Add the row of text string to the message variable. Make
sure to add a newline at the end
4. Return the string message
main function
1. Get input from the user for the number of rows to print
2. Call makeNumberPyramid using the value from the user and save the 
return
3. Print the return value
program start - NOTE: This isn't really necessary for your future 
assignments
as the main function definition will be assumed to be the starting 
point
1. Call main function","","0","80036477","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","974","80040575","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","894","80040580","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","794","80040583","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e",""," ","193","80040587","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80049642","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","285","80049644","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80050669","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","337","80050671","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80051770","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","391","80051772","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80051966","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","391","80051968","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80055478","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","458","80055480","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80055681","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","458","80055684","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80056360","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","466","80056362","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80057945","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","513","80057946","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80058182","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","513","80058184","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80060028","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","566","80060030","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80061512","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","630","80061514","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Tab",,,"80061894","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","    ","","630","80061895","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"80072420","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","
","","700","80072442","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"80081753","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"e","
","","876","80081765","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","EditorChange",,,"80158480","plan1fix.txt","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"80159904","task1.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","46","80159912","task1.py","1.1.2 for 2021-2022 @t1","0"
