"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"94801","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","0","94854","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","9","","1","95142","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","9",,"2","95160","Main.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"96522","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","","9","1","96536","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","1","97984","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","2","97988","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"2","98015","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","2","99443","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","""","","3","99448","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","""",,"3","99449","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","H","","3","101430","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","H",,"4","101432","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","4","101607","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","4","101782","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","4","101783","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"5","101783","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","5","102099","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"6","102100","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","6","102276","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"7","102277","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","7","102507","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"8","102508","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",",","","8","103573","Main.py","1.1.2 for 2021-2022 @t1","0"
"k",",",,"9","103574","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","9","103661","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"10","103662","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","10","103899","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"11","103900","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","11","103915","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","11","104555","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","y","","11","104556","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","y",,"12","104556","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","12","104835","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"13","104837","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","13","105235","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"14","105236","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","14","105257","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","14","105354","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","14","105355","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"15","105355","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","15","105475","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"16","105476","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","16","105623","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"17","105623","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","17","105716","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"18","105716","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","18","105855","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"19","105856","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","19","105872","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","19","105961","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","19","105962","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"20","105962","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","20","106043","Main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"21","106044","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","P","","21","106632","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","P",,"22","106633","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","22","106654","Main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","22","106858","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","22","106859","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"23","106859","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","23","106956","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"24","106956","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","g","","24","107218","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","g",,"25","107219","Main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","25","107342","Main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"26","107343","Main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","26","107443","Main.py","1.1.2 for 2021-2022 @t1","0"
