"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","#","","0","773833","Task1","1.1.2 for 2021-2022 @t1","0"
"k","#",,"1","773857","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","1","774979","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"2","774988","Task1","1.1.2 for 2021-2022 @t1","0"
"e","P","","2","775298","Task1","1.1.2 for 2021-2022 @t1","0"
"k","P",,"3","775299","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","3","775452","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","3","776994","Task1","1.1.2 for 2021-2022 @t1","0"
"e","a","","3","776995","Task1","1.1.2 for 2021-2022 @t1","0"
"k","a",,"4","776995","Task1","1.1.2 for 2021-2022 @t1","0"
"e","i","","4","777077","Task1","1.1.2 for 2021-2022 @t1","0"
"k","i",,"5","777078","Task1","1.1.2 for 2021-2022 @t1","0"
"e","g","","5","777327","Task1","1.1.2 for 2021-2022 @t1","0"
"k","g",,"6","777328","Task1","1.1.2 for 2021-2022 @t1","0"
"e","e","","6","777447","Task1","1.1.2 for 2021-2022 @t1","0"
"k","e",,"7","777449","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","7","777539","Task1","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"8","777540","Task1","1.1.2 for 2021-2022 @t1","0"
"e","D","","8","777813","Task1","1.1.2 for 2021-2022 @t1","0"
"k","D",,"9","777814","Task1","1.1.2 for 2021-2022 @t1","0"
"e"," ","","9","777830","Task1","1.1.2 for 2021-2022 @t1","0"
"e",""," ","9","778027","Task1","1.1.2 for 2021-2022 @t1","0"
"e","a","","9","778028","Task1","1.1.2 for 2021-2022 @t1","0"
"k","a",,"10","778028","Task1","1.1.2 for 2021-2022 @t1","0"
"e","v","","10","778160","Task1","1.1.2 for 2021-2022 @t1","0"
"k","v",,"11","778161","Task1","1.1.2 for 2021-2022 @t1","0"
"e","d","","11","778505","Task1","1.1.2 for 2021-2022 @t1","0"
"k","d",,"12","778505","Task1","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"778937","Task1","1.1.2 for 2021-2022 @t1","0"
