"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","# Paige Davidson
# CS1400 - MO1
# Assignment ??
","","0","23146","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"26883","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","48","26933","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"27245","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","49","27248","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","49","29484","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"50","29487","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","50","29610","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"51","29611","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","51","29782","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","51","29814","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","51","29815","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"52","29817","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","52","29826","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","52","29907","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","52","29908","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"53","29908","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","53","29920","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","53","30116","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","53","30117","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"54","30123","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","54","30180","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","54","30274","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","54","30275","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"55","30279","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","55","30289","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","55","32104","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","55","32114","flower.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"56","32115","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","56","32288","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"57","32289","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","57","32309","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","57","32380","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","57","32381","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"58","32381","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","58","32410","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","58","32516","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","58","32517","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"59","32527","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","59","32783","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"60","32807","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","60","32920","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"61","32926","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","61","33025","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"62","33035","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","62","34459","flower.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"63","34460","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"35638","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","64","35640","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Enter",,,"37187","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","65","37191","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","65","37700","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"66","37701","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","66","37721","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","66","37759","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","u","","66","37760","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","u",,"67","37760","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","67","37779","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","67","37879","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","67","37880","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"68","37881","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","68","37899","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","68","38038","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","68","38039","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"69","38051","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","69","38126","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"70","38137","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","70","38244","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"71","38244","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","71","38257","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","71","38458","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","71","38459","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"72","38470","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","72","38479","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"38951","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","e ","71","38965","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"39124","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","",".","70","39126","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"39286","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","t","69","39289","flower.py","1.1.2 for 2021-2022 @t1","0"
"a","Backspace",,,"40437","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","","l","68","40440","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","68","41176","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"69","41177","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","69","41195","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","69","41353","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","69","41354","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"70","41357","flower.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","70","41469","flower.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"71","41477","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",".","","71","41817","flower.py","1.1.2 for 2021-2022 @t1","0"
"k",".",,"72","41818","flower.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","72","41839","flower.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","72","49740","flower.py","1.1.2 for 2021-2022 @t1","0"
